 INFO  Accepting connections at http://localhost:3000
 HTTP  9/21/2026 5:12:00 PM ::1 GET /_next/static/chunks/3fntmmi971322.js
 HTTP  9/21/2026 5:11:59 PM ::1 Returned 200 in 625 ms
 HTTP  9/21/2026 5:11:59 PM ::1 Returned 200 in 599 ms
 HTTP  9/21/2026 5:12:00 PM ::1 Returned 200 in 649 ms
 HTTP  9/21/2026 5:12:00 PM ::1 Returned 200 in 700 ms
 HTTP  9/21/2026 5:12:00 PM ::1 Returned 200 in 654 ms
 HTTP  9/21/2026 5:12:00 PM ::1 GET /_next/static/media/public-sans-latin-400-normal.0dfhr30pzjgke.woff2
 HTTP  9/21/2026 5:12:01 PM ::1 GET /_next/static/media/source-serif-4-latin-400-normal.2h0g4hvhigxb2.woff2
 HTTP  9/21/2026 5:12:01 PM ::1 GET /_next/static/media/public-sans-latin-600-normal.28kl08ryt2g51.woff2
 HTTP  9/21/2026 5:12:01 PM ::1 GET /_next/static/media/source-serif-4-latin-400-italic.176tdg0wh_pxv.woff2
 HTTP  9/21/2026 5:12:00 PM ::1 Returned 200 in 328 ms
 HTTP  9/21/2026 5:12:01 PM ::1 Returned 200 in 273 ms
 HTTP  9/21/2026 5:12:01 PM ::1 Returned 200 in 281 ms
 HTTP  9/21/2026 5:12:01 PM ::1 Returned 200 in 265 ms
 HTTP  9/21/2026 5:12:01 PM ::1 GET /_next/static/media/public-sans-latin-800-normal.3yqjxqcq8pbt_.woff2
 HTTP  9/21/2026 5:12:01 PM ::1 GET /college.jpeg
 HTTP  9/21/2026 5:12:01 PM ::1 Returned 200 in 142 ms
 HTTP  9/21/2026 5:12:01 PM ::1 GET /_next/static/chunks/08h_lnmb0vpih.js
 HTTP  9/21/2026 5:12:01 PM ::1 GET /_next/static/chunks/0goy3ssicgvu7.js
 HTTP  9/21/2026 5:12:01 PM ::1 GET /bsnu-logo.png
 HTTP  9/21/2026 5:12:01 PM ::1 Returned 200 in 361 ms
 HTTP  9/21/2026 5:12:01 PM ::1 Returned 200 in 266 ms
 HTTP  9/21/2026 5:12:01 PM ::1 Returned 200 in 266 ms
 HTTP  9/21/2026 5:12:01 PM ::1 Returned 200 in 316 ms
 HTTP  9/21/2026 5:12:02 PM ::1 GET /fms-logo.png
 HTTP  9/21/2026 5:12:02 PM ::1 Returned 200 in 201 ms
 HTTP  9/21/2026 5:12:02 PM ::1 GET /tab-compass.png
 HTTP  9/21/2026 5:12:02 PM ::1 Returned 200 in 28 ms
 HTTP  9/21/2026 5:12:02 PM ::1 HEAD /
 HTTP  9/21/2026 5:12:02 PM ::1 HEAD /about/
 HTTP  9/21/2026 5:12:02 PM ::1 HEAD /agenda/
 HTTP  9/21/2026 5:12:02 PM ::1 HEAD /speakers/
 HTTP  9/21/2026 5:12:02 PM ::1 Returned 304 in 11 ms
 HTTP  9/21/2026 5:12:02 PM ::1 Returned 200 in 11 ms
 HTTP  9/21/2026 5:12:02 PM ::1 Returned 200 in 83 ms
 HTTP  9/21/2026 5:12:02 PM ::1 Returned 200 in 191 ms
 HTTP  9/21/2026 5:12:02 PM ::1 GET /__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:12:02 PM ::1 Returned 200 in 161 ms
 HTTP  9/21/2026 5:12:03 PM ::1 GET /about/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:12:03 PM ::1 GET /agenda/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:12:03 PM ::1 GET /speakers/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:12:03 PM ::1 HEAD /posters/
 HTTP  9/21/2026 5:12:03 PM ::1 Returned 200 in 227 ms
 HTTP  9/21/2026 5:12:03 PM ::1 Returned 200 in 227 ms
 HTTP  9/21/2026 5:12:03 PM ::1 Returned 200 in 332 ms
 HTTP  9/21/2026 5:12:03 PM ::1 Returned 200 in 336 ms
 HTTP  9/21/2026 5:12:03 PM ::1 HEAD /sponsors/
 HTTP  9/21/2026 5:12:03 PM ::1 GET /posters/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  9/21/2026 5:12:03 PM ::1 HEAD /registration/
 HTTP  9/21/2026 5:12:03 PM ::1 GET /__next.__PAGE__.txt?_rsc=8nTjltbQWvg6NcbE
 HTTP  9/21/2026 5:12:03 PM ::1 Returned 200 in 213 ms
 HTTP  9/21/2026 5:12:03 PM ::1 Returned 200 in 203 ms
 HTTP  9/21/2026 5:12:03 PM ::1 Returned 200 in 192 ms
 HTTP  9/21/2026 5:12:03 PM ::1 Returned 200 in 239 ms
